Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637),S(872),S(871)
8.191e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.970571239425919e-30,0.0,4.841169886543019e-34,0.0,0.2099999999789998,6.212974602721318e-35,9.999999998999942e-16,0.0,0.0,4.970633369171952e-30,1.3354574570178823e-38,3.638670609461636e-39,6.869897583856418e-40,1.9810538867316908e-43,5.854758513933247e-45,2.1963554151174845e-49,4.1450215655734433e-50
1e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.0682668766108056e-30,0.0,5.9102385561454206e-34,0.0,0.2099999999789998,1.0329218833155817e-34,9.999999998999932e-16,0.0,0.0,6.068370168799151e-30,2.2193940492608736e-38,6.022090633437263e-39,1.0524687524731628e-39,3.8116367297157425e-43,1.4905129993746037e-44,9.471465167720534e-49,1.758413780905612e-49
1.6383e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.941451648391419e-30,0.0,9.68241396690945e-34,0.0,0.2099999999789998,2.4853258038718765e-34,9.999999998999893e-16,0.0,0.0,9.941700180971852e-30,5.338336707241534e-38,1.4431913747332463e-38,2.3420499682059685e-39,1.0270791117093963e-42,4.683908309249949e-44,3.5141462708276225e-48,6.500363973395932e-49
3.2767e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9882839663039792e-29,0.0,1.9363881332291385e-33,0.0,0.2099999999789998,9.941415313898226e-34,9.999999998999794e-16,0.0,0.0,1.9883833804571558e-29,2.1323501766720496e-37,5.676293349862327e-38,7.190996234382288e-39,4.795197530314148e-42,3.746862912381319e-43,5.621876738641806e-47,1.0001834045350936e-47
6.5535e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.9764124591039e-29,0.0,3.87228321157685e-33,0.0,0.2099999999789998,3.9764607285749626e-33,9.999999998999595e-16,0.0,0.0,3.9768101051770574e-29,8.50525883795331e-37,2.1967417667850635e-37,1.9438351944683138e-38,2.0828276863163265e-41,2.9969052231422906e-42,8.992052518788348e-46,1.4860344963086245e-46
9.999999999999999e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.067189188980711e-29,0.0,5.907625340660606e-33,0.0,0.2099999999789998,1.02494047071987e-32,9.999999998999386e-16,0.0,0.0,6.068214129452833e-29,2.1822800395409497e-36,5.378705541168686e-37,3.3717542420042705e-38,5.541207124840117e-41,1.402411851944819e-41,7.98737702476274e-45,1.1640892280758271e-45
1.31071e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.952073093637679e-29,0.0,7.742533661936144e-33,0.0,0.2099999999789998,1.5904609766238836e-32,9.999999998999197e-16,0.0,0.0,7.953663554616701e-29,3.3828874201639624e-36,8.247319974184024e-37,4.65905651172688e-38,8.659016715276e-41,2.3965408069122374e-41,1.4377528922493071e-44,2.079573302413953e-45
2.62143e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5901009673850017e-28,0.0,1.5477200893387612e-32,0.0,0.2099999999789998,6.360779626158761e-32,9.999999998998402e-16,0.0,0.0,1.5907370453495358e-28,1.3380270021786982e-35,2.934162942177103e-36,1.0245727028175478e-37,3.5026946549960804e-40,1.9156773797984063e-40,2.2973027915049763e-43,2.6571030001814383e-44
5.24287e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.178934979869407e-28,0.0,3.0925137288594425e-32,0.0,0.2099999999789998,2.5434452402661025e-31,9.99999999899681e-16,0.0,0.0,3.181478425125014e-28,5.234956224632761e-35,9.575691858771607e-36,2.1455596085990357e-37,1.3859931061792754e-39,1.5301192622519272e-39,3.665924557640707e-42,3.023022222680758e-43
9.999999999999999e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.058738003728011e-28,0.0,5.88902775110666e-32,0.0,0.2099999999789998,9.460521675270118e-31,9.999999998993923e-16,0.0,0.0,6.0681985255159855e-28,1.8685909953355239e-34,2.6081512735994125e-35,4.175633512339408e-37,4.974631486253896e-39,1.1214332181690483e-38,5.328184157275462e-41,2.79829622068945e-42
1.0485750000000002e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.3527943609937e-28,0.0,6.174579477947549e-32,0.0,0.2099999999789998,1.0166823558612222e-30,9.99999999899363e-16,0.0,0.0,6.362961184674958e-28,2.0059385299567554e-34,2.7766920217208826e-35,4.3829241263738974e-37,5.341066940639473e-39,1.2203186054848735e-38,5.83481171822275e-41,3.053161882282299e-42
2.0971510000000003e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2685315023424426e-27,0.0,1.2313784886871461e-31,0.0,0.2099999999789998,4.06116793664999e-30,9.999999998987265e-16,0.0,0.0,1.2725926703770797e-27,7.397539885940641e-34,7.073402372092441e-35,8.839552761386434e-37,1.9752851706499668e-38,9.70350923021178e-38,9.239496494508159e-40,2.795188934902455e-41
4.194303e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.52898543595211e-27,0.0,2.451802010462134e-31,0.0,0.2099999999789998,1.6200337460689132e-29,9.999999998974539e-16,0.0,0.0,2.545185774194628e-27,2.554833565688834e-33,1.6165059090597402e-34,1.7698765602796493e-36,6.831561018916097e-38,7.671055118731784e-37,1.448430401672892e-38,2.3879218817393288e-40
8.388607e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.025922626918718e-27,0.0,4.8746119151197265e-31,0.0,0.2099999999789998,6.444934868270669e-29,9.999999998949084e-16,0.0,0.0,5.0903719818232454e-27,7.987588542388913e-33,3.4456663578950952e-34,3.528579733235627e-36,2.1373610601617058e-37,5.997192087761319e-36,2.2268432283932867e-37,1.9444039961881205e-39
9.999999999999999e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.967139586712397e-27,0.0,5.7993229717330816e-31,0.0,0.2099999999789998,1.0105736389662092e-28,9.999999998939304e-16,0.0,0.0,6.068196965097805e-27,1.068501328247022e-32,4.144584137449473e-34,4.1998064919268394e-36,2.859540191324266e-37,1.367029590555731e-35,8.139995347604943e-37,4.492399810940211e-39
1.6777215e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.92572057730136e-27,0.0,9.688483247063735e-31,0.0,0.2099999999789998,2.5502377049511556e-28,9.999999998898175e-16,0.0,0.0,1.0180744397054567e-26,2.2029872922452623e-32,7.084100480987409e-34,7.0228596250877e-36,5.896889391923918e-37,4.594192318116563e-35,3.3009597759681364e-36,1.520878957785314e-38
3.3554431e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899999e-11,1.936292657034965e-26,0.0,1.9280352343718766e-30,0.0,0.2099999999789998,9.985622710058157e-28,9.999999998796357e-16,0.0,0.0,2.0361489227413545e-26,5.370460357523345e-32,1.4332216370812722e-33,1.3985288314490166e-35,1.4377818848178853e-36,3.4007100499986526e-34,4.587330869761243e-35,1.1377006540909675e-37
6.7108863e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999987e-11,3.689116536838955e-26,0.0,3.844048547028138e-30,0.0,0.2099999999789998,3.831810551469397e-27,9.999999998592722e-16,0.0,0.0,4.072297888771688e-26,1.1941646402177913e-31,2.880906209682502e-33,2.789295125814345e-35,3.1972609513160614e-36,2.3925822023507317e-33,5.744710554507132e-34,8.046731265962576e-37
9.999999999999998e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999986e-11,5.178518211813778e-26,0.0,5.7217718701005296e-30,0.0,0.2099999999789998,8.89677366498714e-27,9.999999998393113e-16,0.0,0.0,6.068196808812546e-26,1.8424443631138502e-31,4.299631917999198e-33,4.1522670106625893e-35,4.9330800599366147e-36,8.966463719368288e-33,3.335514358565335e-33,3.022472435561429e-36
1.34217727e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999983e-11,6.727991551930639e-26,0.0,7.675228938198357e-30,0.0,0.2099999999789998,1.416602066862281e-26,9.999999998185453e-16,0.0,0.0,8.1445958206665e-26,2.516870989888505e-31,5.7755787353762445e-33,5.57021129955758e-35,6.738909526402354e-36,1.5805487954974763e-32,6.207918130473692e-33,5.329721689211706e-36
2.68435455e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999975e-11,1.1377429520663526e-25,0.0,1.5337430917282745e-29,0.0,0.2099999999789998,4.9117467979429927e-26,9.999999997370915e-16,0.0,0.0,1.628919168379271e-25,5.163872991859562e-31,1.1564793032401505e-32,1.1131927971369668e-34,1.3826464721209167e-35,9.760972356081352e-32,5.600918063373779e-32,3.2957727172731246e-35
5.36870911e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999958e-11,1.7137380127447276e-25,0.0,3.0661819614739433e-29,0.0,0.2099999999789998,1.5440905715126149e-25,9.999999995741836e-16,0.0,0.0,3.2578383407391454e-25,1.0458029699749863e-30,2.3143209061125307e-32,2.2255350198772324e-34,2.8001984233803693e-35,5.597714714499975e-31,4.156875808248392e-31,1.8912808967885336e-34
9.999999999999997e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899993e-11,2.1596088354438424e-25,0.0,5.710083817276536e-29,0.0,0.2099999999789998,3.908539371945939e-25,9.999999992931204e-16,0.0,0.0,6.068196790942776e-25,1.9591993328590542e-30,4.3119337416669437e-32,4.144648222238015e-34,5.245888773075902e-35,2.6061587753421436e-30,2.2513157160415744e-30,8.808080074226257e-34
1.0737418230000002e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999926e-11,2.2306027074965276e-25,0.0,6.131059625772918e-29,0.0,0.2099999999789998,4.285019211099635e-25,9.99999999248368e-16,0.0,0.0,6.515676684397432e-25,2.1046350537421385e-30,4.630004050012405e-32,4.4502194105885985e-34,5.635304314365854e-35,2.931995208287652e-30,2.5435939776667547e-30,9.909408824209314e-34
2.1474836470000003e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999861e-11,2.5295751171274314e-25,0.0,1.2260814948561607e-28,0.0,0.2099999999789998,1.0501508803875302e-24,9.99999998596737e-16,0.0,0.0,1.3031353367468144e-24,4.222299238059925e-30,9.26137033329982e-32,8.899588187789955e-34,1.1305516141305188e-34,1.385345292080495e-29,1.3086510760875583e-29,4.682859406089519e-33
4.294967295e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999731e-11,2.630661023486597e-25,0.0,2.4520325578139196e-28,0.0,0.2099999999789998,2.3430868655262107e-24,9.999999972934747e-16,0.0,0.0,2.6062706716626126e-24,8.457627601398526e-30,1.8524102887784427e-31,1.779832573057894e-33,2.264593978100117e-34,5.923102810289432e-29,5.845273632982694e-29,2.002330964805286e-32
8.589934591e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899947e-11,2.649328100936963e-25,0.0,4.903934677338417e-28,0.0,0.2099999999789998,4.947145149623732e-24,9.999999946869503e-16,0.0,0.0,5.212541334700833e-24,1.6928284305997907e-29,3.7049567948465973e-31,3.559580076976679e-33,4.532678700127803e-34,2.306630231651492e-28,2.3263398066232397e-28,7.797957786200923e-32
9.999999999999997e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999385e-11,2.6496247481363584e-25,0.0,5.70890992131564e-28,0.0,0.2099999999789998,5.8025775098741406e-24,9.999999938312115e-16,0.0,0.0,6.068196764884457e-24,1.9709255411302285e-29,4.31315973403675e-31,4.1438826352952454e-33,5.277305509630835e-34,3.262175839196625e-28,3.304523285032551e-28,1.1028425718841333e-31
1.7179869183e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998998949e-11,2.651135236991392e-25,0.0,9.807738890823382e-28,0.0,0.2099999999789998,1.0158327535582966e-23,9.999999894739012e-16,0.0,0.0,1.0425082633603768e-23,3.3869597626879884e-29,7.41004978766788e-31,7.119075066258243e-33,9.068848120535664e-34,8.127689464858742e-28,8.285305997042737e-28,2.747754716256484e-31
3.4359738367e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998997906e-11,2.651225154452529e-25,0.0,1.9615347215537204e-27,0.0,0.2099999999789998,2.0579898926739937e-23,9.999999790478034e-16,0.0,0.0,2.0850165122715618e-23,6.775222391537672e-29,1.4820235696050347e-30,1.4238064970597338e-32,1.8141186866761346e-33,2.5399769020114904e-27,2.6028449223822458e-27,8.58706034400856e-31
6.8719476735e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998995821e-11,2.651227982711237e-25,0.0,3.92305634559404e-27,0.0,0.2099999999789998,4.142114924419641e-23,9.99999958195608e-16,0.0,0.0,4.170032966616325e-23,1.3551747507930187e-28,2.9640607203774887e-30,2.847604448237941e-32,3.6285863980852545e-33,6.93282648347909e-27,7.122453377667275e-27,2.343834567032631e-30
9.999999999999998e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998993923e-11,2.6512285213840695e-25,0.0,5.708792301425349e-27,0.0,0.2099999999789998,6.039375442205243e-23,9.999999392121235e-16,0.0,0.0,6.068196517499934e-23,1.972098082538421e-28,4.313282159272906e-30,4.1438059094386605e-32,5.2804469706361524e-33,1.1381715108461286e-26,1.1702337789874084e-26,3.847910161515561e-30
0.000137438953471,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899165e-11,2.651229166109445e-25,0.0,7.84609943006491e-27,0.0,0.2099999999789998,8.310163806133228e-23,9.99999916491219e-16,0.0,0.0,8.34006570139543e-23,2.7104797175487847e-28,5.928134898306242e-30,5.695200231835909e-32,7.257521669559433e-33,1.6706489659619032e-26,1.7183898247113102e-26,5.648104350137716e-30
0.000274877906943,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999898331e-11,2.6512314761705565e-25,0.0,1.5692184944567625e-26,0.0,0.2099999999789998,1.6646139004924525e-22,9.99999833082448e-16,0.0,0.0,1.6680130475312014e-22,5.421089424969387e-28,1.185628275969918e-29,1.1390391323998113e-31,1.4515391607131614e-32,3.6852677908374143e-26,3.7926419241222065e-26,1.2459108264222978e-29
0.000549755813887,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998966628e-11,2.651236095919757e-25,0.0,3.138435335581739e-26,0.0,0.2099999999789998,3.331804665694822e-22,9.99999666264934e-16,0.0,0.0,3.3360257240579153e-22,1.0842307935447018e-27,2.37125765046271e-29,2.27807716081879e-31,2.903112906077162e-32,7.73414308737991e-26,7.96146483361886e-26,2.6147507415265855e-29
0.0009999999999999998,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998939304e-11,2.6512436629658495e-25,0.0,5.70877840751619e-26,0.0,0.2099999999789998,6.0626263357777635e-22,9.999993930214727e-16,0.0,0.0,6.068194226618531e-22,1.9722146001586673e-27,4.313292791013956e-29,4.1437966893689095e-31,5.280759144645127e-32,1.4368862635480403e-25,1.4792751332103202e-25,4.8578104332081615e-29
